YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Attd	Dry	Wet	Water	Weather	Clouds	From	Amount	VisM	Flora&Fauna	Ships	Other
1931-01-05	1	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0809.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0810.JPG	 						0	0	0	29.92	56	56	55		oe	nb	135	10	13			
1931-01-05	2	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0810.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0810.JPG	 						135	135	2	29.92	56	56	55		oe	nb		10	13			
1931-01-05	3	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0810.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0810.JPG	 						135	135	2	29.92	56	56	55		or	nb		10	12			
1931-01-05	4	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0810.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0810.JPG	 						135	135	2	29.90	55	55	51		or	nb		10	10			
1931-01-05	5	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0810.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0810.JPG	 						135	135	2	29.90	54	54	51		oe	nb		10	10			
1931-01-05	6	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0810.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0810.JPG	 						135	135	2	29.90	54	54	51		or	nb		10	10			
1931-01-05	7	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0810.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0810.JPG	 						135	135	2	29.90	53	53	50		or	nb		10	10			
1931-01-05	8	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0810.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0810.JPG	 						135	135	2	29.93	53	53	50		or	nb		10	10			
1931-01-05	9	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0810.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0810.JPG	 						135	135	3	29.97	54	53	51		od	nb		10	10			
1931-01-05	10	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0810.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0810.JPG	 						135	135	3	29.99	53	53	50		od	nb		10	10			
1931-01-05	11	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0810.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0810.JPG	 						135	135	5	29.99	53	53	50		od	nb		10	10			
1931-01-05	12	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0810.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0810.JPG	 						135	135	5	29.96	52	52	49		od	nb		10	10			
1931-01-05	13	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0810.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0810.JPG	 						135	135	2	29.94	52	52	49		op	nb		10	18			
1931-01-05	14	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0810.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0810.JPG	 						146	146	5	29.92	52	52	49		op	nb		10	18			
1931-01-05	15	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0810.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0810.JPG	 						146	146	5	29.94	53	53	49		og	nb		10	18			
1931-01-05	16	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0810.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0810.JPG	 						146	146	5	29.97	53	53	49		og	nb		10	18			
1931-01-05	17	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0810.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0810.JPG	 						135	135	2	30.01	53	53	49		og	nb		10	15			
1931-01-05	18	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0810.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0810.JPG	 						135	135	2	30.02	53	53	49		og	nb		10	15			
1931-01-05	19	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0810.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0810.JPG	 						135	135	2	30.06	63	63	49		og	nb		10	15			
1931-01-05	20	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0810.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0810.JPG	 						135	135	2	30.12	54	54	48		og	nb		10	15			
1931-01-05	21	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0810.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0810.JPG	 						135	135	2	30.16	51	51	47		op	nb		10	10			
1931-01-05	22	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0810.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0810.JPG	 						135	135	2	30.18	53	53	49		og	nb		10	10			
1931-01-05	23	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0810.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0810.JPG	 						135	135	2	30.18	52	52	47		op	nb		10	10			
1931-01-05	24	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0810.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0810.JPG	 						135	135	5	30.20	50	50	46		og	nb		8	10			
1931-01-06	1	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0811.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0812.JPG	": Ichang, China"						135	135	5	30.22	46	46	42		og	nb	135	8	9			
1931-01-06	2	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0811.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0811.JPG	 						135	135	5	30.25	46	46	42		or	nb	135	8	9			
1931-01-06	3	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0811.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0811.JPG	 						135	135	2	30.27	45	45	41		or	nb		8	10			
1931-01-06	4	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0811.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0811.JPG	 						135	135	2	30.28	45	45	41		or	nb		6	10			
1931-01-06	5	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0811.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0811.JPG	 						135	135	2	30.28	46	46	43		or	nb		6	10			
1931-01-06	6	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0811.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0811.JPG	 						180	180	2	30.28	46	46	43		or	nb		6	10			
1931-01-06	7	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0811.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0811.JPG	 						135	135	5	30.29	47	47	44		or	nb		6	20			
1931-01-06	8	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0811.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0811.JPG	 						135	135	8	30.31	46	46	42		or	nb		6	30			
1931-01-06	9	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0811.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0811.JPG	 						135	135	5	30.35	43	43	42		os	nb		10	30			
1931-01-06	10	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0811.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0811.JPG	 						135	135	5	30.35	43	43	42		os	nb		10	28			
1931-01-06	11	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0811.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0811.JPG	 						135	135	5	30.38	43	43	41		op	nb		10	30			
1931-01-06	12	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0811.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0811.JPG	 						135	135	5	30.36	44	44	41		o	nb		10	30			
1931-01-06	13	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0811.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0811.JPG	 						135	135	5	30.32	46	46	42		o	nb		10	30			
1931-01-06	14	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0811.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0811.JPG	 						135	135	5	30.31	48	48	43		o	nb		10	30			
1931-01-06	15	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0811.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0811.JPG	 						135	135	3	30.30	48	48	43		o	nb		10	30			
1931-01-06	16	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0811.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0811.JPG	 						135	135	3	30.30	48	48	43		o	nb		10	30			
1931-01-06	17	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0811.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0811.JPG	 						315	315	3	30.30	50	50	45		oz	st cu		9	15			
1931-01-06	18	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0811.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0811.JPG	 						315	315	3	30.30	52	52	47		oz	st cu		9	10			
1931-01-06	19	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0811.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0811.JPG	 						315	315	2	30.30	50	50	45		oz	st cu		10	10			
1931-01-06	20	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0811.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0811.JPG	 						315	315	2	30.32	50	50	45		oz	st cu		10	10			
1931-01-06	21	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0811.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0811.JPG	 						315	315	2	30.36	49	49	44		oz	st cu		10	10			
1931-01-06	22	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0811.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0811.JPG	 						112	112	2	30.37	48	48	43		oz	st cu		10	8			
1931-01-06	23	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0811.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0811.JPG	 						112	112	2	30.38	46	46	41		or	st cu		10	8			
1931-01-06	24	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0811.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0811.JPG	 						0	0	0	30.40	43	43	40		od	cu nb		10	9			
1931-01-07	1	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0813.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0814.JPG	": Ichang, China"						0	0	0	30.42	42	42	39		od	cu nb		10	5			
1931-01-07	2	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0813.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0813.JPG	 						112	112	2	30.40	40	40	37		od	cu nb		10	5			
1931-01-07	3	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0813.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0813.JPG	 						0	0	0	30.43	40	40	38		od	cu nb		10	5			
1931-01-07	4	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0813.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0813.JPG	 						0	0	0	30.43	40	40	38		od	cu nb		10	5			
1931-01-07	5	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0813.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0813.JPG	 						0	0	0	30.42	42	42	40		od	cu nb		10	15			
1931-01-07	6	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0813.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0813.JPG	 						0	0	0	30.42	42	42	40		od	cu nb		10	15			
1931-01-07	7	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0813.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0813.JPG	 						0	0	0	30.42	44	44	41		od	nb		10	10			
1931-01-07	8	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0813.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0813.JPG	 						135	135	2	30.44	40	40	37		od	nb		10	10			
1931-01-07	9	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0813.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0813.JPG	 						135	135	3	30.45	45	45	41		o	nb		10	20			
1931-01-07	10	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0813.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0813.JPG	 						135	135	5	30.44	46	46	42		o	nb		10	25			
1931-01-07	11	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0813.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0813.JPG	 						135	135	5	30.44	46	46	42		O	nb		10	25			
1931-01-07	12	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0813.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0813.JPG	 						135	135	5	30.44	46	46	42		o	nb		10	25			
1931-01-07	13	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0813.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0813.JPG	 						135	135	5	30.36	44	44	40		o	nb		10	25			
1931-01-07	14	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0813.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0813.JPG	 						135	135	5	30.34	43	43	39		o	nb		10	25			
1931-01-07	15	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0813.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0813.JPG	 						135	135	5	30.33	42	42	38		o	nb		10	25			
1931-01-07	16	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0813.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0813.JPG	 						135	135	5	30.32	42	42	38		o	nb		10	25			
1931-01-07	17	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0813.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0813.JPG	 						135	135	5	30.34	42	42	38		o	st		10	20			
1931-01-07	18	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0813.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0813.JPG	 						135	135	5	30.34	42	42	38		o	st		10	15			
1931-01-07	19	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0813.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0813.JPG	 						135	135	5	30.35	46	46	41		o	st		10	15			
1931-01-07	20	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0813.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0813.JPG	 						135	135	5	30.36	46	46	41		o	st		10	15			
1931-01-07	21	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0813.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0813.JPG	 						112	112	5	30.37	39	39	39		oc	st		10	10			
1931-01-07	22	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0813.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0813.JPG	 						112	112	5	30.38	39	39	39		oc	st		10	10			
1931-01-07	23	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0813.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0813.JPG	 						112	112	5	30.30	40	40	36		o			10	10			
1931-01-07	24	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0813.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0813.JPG	 						90	90	2	30.39	42	42	38		o			10	10			
1931-01-08	1	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0815.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0816.JPG	": Ichang, China"						90	90	2	30.39	41	41	37		o			10	10			
1931-01-08	2	30.69	111.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0815.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0815.JPG	 						90	90	2	30.40	42	42	38		o			10	10			
